index,date,status,weekly,cumulative,weeklyrate,cumulativerate
317,200521,All,5,5,0,0
318,200521,All,8,8,0,0
319,200521,All,5,5,0,0
328,200521,All,5,5,0,0
329,200521,All,5,5,0,0
330,200521,All,10,10,0,0
338,200521,All,5,5,0,0
339,200521,All,6,6,0,0
340,200521,All,5,5,0,0
346,200521,All,6,6,0,0
347,200521,All,11,11,0,0
348,200521,All,5,5,0,0
353,200521,All,6,6,0,0
359,200521,All,5,5,0,0
360,200521,All,5,5,0,0
370,200521,All,5,5,0,0
9,200522,All,5,5,1,1
9,200522,AtRisk,5,5,1,1
16,200522,All,5,5,0,0
18,200522,All,5,5,0,0
89,200522,All,5,5,0,0
101,200522,All,5,5,0,0
125,200522,All,5,5,0,0
149,200522,All,5,5,1,1
149,200522,AtRisk,5,5,1,1
152,200522,All,5,5,0,0
177,200522,All,5,5,1,1
177,200522,AtRisk,5,5,1,1
178,200522,All,5,5,0,0
191,200522,All,25,25,0.2,0.2
191,200522,AtRisk,5,5,0.2,0.2
204,200522,All,10,10,0.5,0.5
204,200522,AtRisk,5,5,0.5,0.5
216,200522,All,5,5,0,0
218,200522,All,19,19,0.26,0.26
218,200522,AtRisk,5,5,0.26,0.26
231,200522,All,5,5,0,0
232,200522,All,5,5,0,0
244,200522,All,5,5,0,0
256,200522,All,5,5,0,0
257,200522,All,5,5,0,0
269,200522,All,5,5,0,0
272,200522,All,5,5,0,0
281,200522,All,8,8,0,0
283,200522,All,5,5,0,0
292,200522,All,5,5,0,0
305,200522,All,14,14,0,0
306,200522,All,5,5,0,0
307,200522,All,5,5,0,0
316,200522,All,8,8,0,0
317,200522,All,5,5,0,0
318,200522,All,10,10,0,0
319,200522,All,6,6,0,0
328,200522,All,5,5,0,0
329,200522,All,5,5,0,0
330,200522,All,13,13,0,0
338,200522,All,8,8,0,0
339,200522,All,8,8,0,0
340,200522,All,5,5,0,0
346,200522,All,8,8,0,0
347,200522,All,13,13,0,0
348,200522,All,5,5,0,0
353,200522,All,7,7,0,0
359,200522,All,5,5,0,0
360,200522,All,5,5,0,0
370,200522,All,5,5,0,0
9,200523,All,5,5,1,1
9,200523,AtRisk,5,5,1,1
16,200523,All,5,5,0,0
18,200523,All,5,5,0,0
89,200523,All,5,5,0,0
101,200523,All,5,5,0,0
125,200523,All,5,5,0,0
149,200523,All,5,5,1,1
149,200523,AtRisk,5,5,1,1
152,200523,All,5,5,0,0
177,200523,All,5,5,1,1
177,200523,AtRisk,5,5,1,1
178,200523,All,5,5,0,0
191,200523,All,26,26,0.19,0.19
191,200523,AtRisk,5,5,0.19,0.19
204,200523,All,10,10,0.5,0.5
204,200523,AtRisk,5,5,0.5,0.5
216,200523,All,5,5,0,0
218,200523,All,19,19,0.26,0.26
218,200523,AtRisk,5,5,0.26,0.26
231,200523,All,5,5,0,0
232,200523,All,5,5,0,0
244,200523,All,5,5,0,0
256,200523,All,5,5,0,0
257,200523,All,5,5,0,0
269,200523,All,5,5,0,0
272,200523,All,5,5,0,0
281,200523,All,8,8,0,0
283,200523,All,5,5,0,0
292,200523,All,5,5,0,0
305,200523,All,15,15,0,0
306,200523,All,5,5,0,0
307,200523,All,5,5,0,0
316,200523,All,10,10,0,0
317,200523,All,5,5,0,0
318,200523,All,10,10,0,0
319,200523,All,7,7,0,0
328,200523,All,5,5,0,0
329,200523,All,5,5,0,0
330,200523,All,13,13,0,0
338,200523,All,8,8,0,0
339,200523,All,8,8,0,0
340,200523,All,5,5,0,0
346,200523,All,8,8,0,0
347,200523,All,14,14,0,0
348,200523,All,5,5,0,0
353,200523,All,8,8,0,0
359,200523,All,5,5,0,0
360,200523,All,5,5,0,0
370,200523,All,5,5,0,0
9,200524,All,5,5,1,1
9,200524,AtRisk,5,5,1,1
16,200524,All,5,5,0,0
18,200524,All,5,5,0,0
89,200524,All,5,5,0,0
101,200524,All,5,5,0,0
125,200524,All,5,5,0,0
149,200524,All,5,5,1,1
149,200524,AtRisk,5,5,1,1
152,200524,All,5,5,0,0
177,200524,All,5,5,1,1
177,200524,AtRisk,5,5,1,1
178,200524,All,5,5,0,0
191,200524,All,26,26,0.19,0.19
191,200524,AtRisk,5,5,0.19,0.19
204,200524,All,10,10,0.5,0.5
204,200524,AtRisk,5,5,0.5,0.5
216,200524,All,5,5,0,0
218,200524,All,19,19,0.26,0.26
218,200524,AtRisk,5,5,0.26,0.26
231,200524,All,5,5,0,0
232,200524,All,5,5,0,0
244,200524,All,5,5,0,0
245,200524,All,5,5,0,0
256,200524,All,5,5,0,0
257,200524,All,5,5,0,0
269,200524,All,5,5,0,0
272,200524,All,5,5,0,0
281,200524,All,8,8,0,0
283,200524,All,5,5,0,0
292,200524,All,5,5,0,0
305,200524,All,16,16,0,0
306,200524,All,5,5,0,0
307,200524,All,5,5,0,0
316,200524,All,12,12,0,0
317,200524,All,5,5,0,0
318,200524,All,11,11,0,0
319,200524,All,7,7,0,0
328,200524,All,5,5,0,0
329,200524,All,5,5,0,0
330,200524,All,13,13,0,0
338,200524,All,8,8,0,0
339,200524,All,9,9,0,0
340,200524,All,5,5,0,0
346,200524,All,8,8,0,0
347,200524,All,14,14,0,0
348,200524,All,5,5,0,0
353,200524,All,9,9,0,0
359,200524,All,5,5,0,0
360,200524,All,5,5,0,0
370,200524,All,5,5,0,0
442,200524,All,5,5,0,0
9,200525,All,5,5,1,1
9,200525,AtRisk,5,5,1,1
16,200525,All,5,5,0,0
18,200525,All,5,5,0,0
89,200525,All,5,5,0,0
101,200525,All,5,5,0,0
125,200525,All,5,5,0,0
149,200525,All,5,5,1,1
149,200525,AtRisk,5,5,1,1
152,200525,All,5,5,0,0
177,200525,All,5,5,1,1
177,200525,AtRisk,5,5,1,1
178,200525,All,5,5,0,0
191,200525,All,26,26,0.19,0.19
191,200525,AtRisk,5,5,0.19,0.19
204,200525,All,10,10,0.5,0.5
204,200525,AtRisk,5,5,0.5,0.5
216,200525,All,5,5,0,0
218,200525,All,19,19,0.26,0.26
218,200525,AtRisk,5,5,0.26,0.26
231,200525,All,5,5,0,0
232,200525,All,5,5,0,0
244,200525,All,5,5,0,0
245,200525,All,5,5,0,0
256,200525,All,5,5,0,0
257,200525,All,5,5,0,0
269,200525,All,5,5,0,0
272,200525,All,5,5,0,0
281,200525,All,8,8,0,0
283,200525,All,5,5,0,0
292,200525,All,5,5,0,0
305,200525,All,16,16,0,0
306,200525,All,5,5,0,0
307,200525,All,5,5,0,0
316,200525,All,12,12,0,0
317,200525,All,5,5,0,0
318,200525,All,11,11,0,0
319,200525,All,7,7,0,0
328,200525,All,5,5,0,0
329,200525,All,5,5,0,0
330,200525,All,14,14,0,0
338,200525,All,8,8,0,0
339,200525,All,9,9,0,0
340,200525,All,5,5,0,0
346,200525,All,8,8,0,0
347,200525,All,14,14,0,0
348,200525,All,5,5,0,0
353,200525,All,9,9,0,0
359,200525,All,5,5,0,0
360,200525,All,5,5,0,0
370,200525,All,,5,0,0
442,200525,All,5,5,0,0
9,200526,All,,5,,1
9,200526,AtRisk,,5,,1
16,200526,All,5,5,0,0
18,200526,All,5,5,0,0
22,200526,All,5,5,0,0
89,200526,All,5,5,0,0
101,200526,All,5,5,0,0
125,200526,All,5,5,0,0
149,200526,All,6,7,0.83,0.71
149,200526,AtRisk,5,5,0.83,0.71
152,200526,All,5,5,0,0
164,200526,All,5,5,0,0
177,200526,All,5,5,1,1
177,200526,AtRisk,5,5,1,1
178,200526,All,5,5,0,0
191,200526,All,32,32,0.16,0.16
191,200526,AtRisk,5,5,0.16,0.16
204,200526,All,16,16,0.31,0.31
204,200526,AtRisk,5,5,0.31,0.31
205,200526,All,5,5,0,0
206,200526,All,5,5,1,1
206,200526,AtRisk,5,5,1,1
216,200526,All,5,5,0,0
218,200526,All,22,22,0.23,0.23
218,200526,AtRisk,5,5,0.23,0.23
231,200526,All,7,7,0,0
232,200526,All,5,5,0,0
244,200526,All,5,5,0,0
245,200526,All,5,5,0,0
255,200526,All,5,5,0,0
256,200526,All,5,5,0,0
257,200526,All,5,5,0,0
269,200526,All,5,5,0,0
272,200526,All,5,5,0,0
281,200526,All,8,8,0,0
283,200526,All,5,5,0,0
284,200526,All,5,5,0,0
292,200526,All,7,7,0,0
305,200526,All,19,19,0,0
306,200526,All,5,5,0,0
307,200526,All,5,5,0,0
316,200526,All,15,15,0,0
317,200526,All,5,5,0,0
318,200526,All,11,11,0,0
319,200526,All,7,7,0,0
328,200526,All,6,6,0,0
329,200526,All,5,5,0,0
330,200526,All,16,16,0,0
338,200526,All,10,10,0,0
339,200526,All,13,13,0,0
340,200526,All,5,5,0,0
346,200526,All,8,8,0,0
347,200526,All,16,16,0,0
348,200526,All,5,5,0,0
353,200526,All,10,10,0,0
359,200526,All,5,5,0,0
360,200526,All,5,5,0,0
370,200526,All,,5,0,0
442,200526,All,5,5,0,0
9,200527,All,,5,,1
9,200527,AtRisk,,5,,1
16,200527,All,5,5,0,0
18,200527,All,,5,0,0
22,200527,All,5,5,0,0
89,200527,All,5,5,0,0
101,200527,All,,5,0,0
125,200527,All,,5,0,0
149,200527,All,5,8,,0.62
149,200527,AtRisk,,5,,0.62
152,200527,All,,5,0,0
164,200527,All,5,5,0,0
177,200527,All,5,5,1,1
177,200527,AtRisk,5,5,1,1
178,200527,All,5,5,0,0
191,200527,All,28,33,0.18,0.15
191,200527,AtRisk,5,5,0.18,0.15
204,200527,All,15,18,0.33,0.28
204,200527,AtRisk,5,5,0.33,0.28
205,200527,All,5,5,0,0
206,200527,All,5,5,1,1
206,200527,AtRisk,5,5,1,1
216,200527,All,,5,0,0
218,200527,All,16,22,0.31,0.23
218,200527,AtRisk,5,5,0.31,0.23
231,200527,All,8,9,0,0
232,200527,All,5,5,0,0
244,200527,All,5,5,0,0
245,200527,All,5,5,0,0
255,200527,All,5,5,0,0
256,200527,All,5,5,0,0
257,200527,All,5,5,0,0
269,200527,All,5,5,0,0
272,200527,All,5,5,0,0
281,200527,All,5,11,0,0
282,200527,All,5,5,0,0
283,200527,All,5,5,0,0
284,200527,All,5,5,0,0
292,200527,All,7,9,0,0
305,200527,All,19,21,0,0
306,200527,All,5,5,0,0
307,200527,All,5,5,0,0
316,200527,All,15,18,0,0
317,200527,All,5,5,0,0
318,200527,All,5,12,0,0
319,200527,All,5,7,0,0
328,200527,All,6,7,0,0
329,200527,All,5,5,0,0
330,200527,All,11,18,0,0
338,200527,All,9,12,0,0
339,200527,All,11,15,0,0
340,200527,All,5,6,0,0
346,200527,All,5,8,0,0
347,200527,All,9,16,0,0
348,200527,All,,5,0,0
353,200527,All,9,12,0,0
359,200527,All,5,5,0,0
360,200527,All,5,5,0,0
370,200527,All,,5,0,0
442,200527,All,5,5,0,0
9,200528,All,,5,,1
9,200528,AtRisk,,5,,1
16,200528,All,5,5,0,0
18,200528,All,,5,0,0
22,200528,All,5,5,0,0
77,200528,All,5,5,0,0
89,200528,All,5,5,0,0
101,200528,All,,5,0,0
125,200528,All,5,5,0,0
149,200528,All,6,9,,0.56
149,200528,AtRisk,,5,,0.56
152,200528,All,,5,0,0
164,200528,All,5,5,0,0
177,200528,All,5,5,1,1
177,200528,AtRisk,5,5,1,1
178,200528,All,5,5,0,0
191,200528,All,25,36,0.2,0.14
191,200528,AtRisk,5,5,0.2,0.14
202,200528,All,5,5,0,0
204,200528,All,24,28,0.21,0.18
204,200528,AtRisk,5,5,0.21,0.18
205,200528,All,5,5,0,0
206,200528,All,5,5,1,1
206,200528,AtRisk,5,5,1,1
216,200528,All,,5,0,0
218,200528,All,12,22,0.42,0.23
218,200528,AtRisk,5,5,0.42,0.23
231,200528,All,6,10,0,0
232,200528,All,5,5,0,0
244,200528,All,5,5,0,0
245,200528,All,5,5,0,0
255,200528,All,5,5,0,0
256,200528,All,5,5,0,0
257,200528,All,5,5,0,0
269,200528,All,5,5,0,0
272,200528,All,5,5,0,0
281,200528,All,6,13,0,0
282,200528,All,5,5,0,0
283,200528,All,,5,0,0
284,200528,All,5,5,0,0
292,200528,All,7,10,0,0
305,200528,All,17,23,0,0
306,200528,All,5,5,0,0
307,200528,All,5,5,0,0
316,200528,All,15,20,0,0
317,200528,All,5,5,0,0
318,200528,All,6,14,0,0
319,200528,All,6,10,0,0
328,200528,All,6,8,0,0
329,200528,All,5,5,0,0
330,200528,All,11,21,0,0
338,200528,All,9,14,0,0
339,200528,All,10,16,0,0
340,200528,All,6,8,0,0
346,200528,All,5,9,0,0
347,200528,All,10,21,0,0
348,200528,All,5,5,0,0
353,200528,All,7,13,0,0
359,200528,All,5,5,0,0
360,200528,All,5,6,0,0
370,200528,All,,5,0,0
442,200528,All,5,5,0,0
9,200529,All,5,5,1,1
9,200529,AtRisk,5,5,1,1
16,200529,All,5,9,1,0.56
16,200529,AtRisk,5,5,1,0.56
18,200529,All,,5,0,0
21,200529,All,5,5,1,1
21,200529,AtRisk,5,5,1,1
22,200529,All,5,5,0,0
25,200529,All,5,5,0,0
32,200529,All,5,5,0,0
34,200529,All,5,5,1,1
34,200529,AtRisk,5,5,1,1
35,200529,All,5,5,1,1
35,200529,AtRisk,5,5,1,1
43,200529,All,5,5,0,0
44,200529,All,5,5,0,0
63,200529,All,5,5,0,0
75,200529,All,5,5,0,0
76,200529,All,5,5,0,0
77,200529,All,12,12,0.42,0.42
77,200529,AtRisk,5,5,0.42,0.42
86,200529,All,5,5,1,1
86,200529,AtRisk,5,5,1,1
87,200529,All,5,5,0,0
88,200529,All,5,5,0,0
89,200529,All,5,5,0,0
101,200529,All,5,5,0,0
102,200529,All,5,5,0,0
114,200529,All,5,5,0,0
120,200529,All,5,5,0,0
122,200529,All,5,5,0,0
125,200529,All,5,5,0,0
126,200529,All,5,5,0,0
132,200529,All,5,5,0,0
138,200529,All,5,5,0,0
146,200529,All,5,5,0,0
149,200529,All,6,10,,0.5
149,200529,AtRisk,,5,,0.5
150,200529,All,5,5,0,0
152,200529,All,,5,0,0
153,200529,All,5,5,1,1
153,200529,AtRisk,5,5,1,1
164,200529,All,5,5,0,0
177,200529,All,5,5,,1
177,200529,AtRisk,,5,,1
178,200529,All,,5,0,0
180,200529,All,5,5,0,0
181,200529,All,5,5,0,0
188,200529,All,5,5,0,0
190,200529,All,5,5,0,0
191,200529,All,19,44,0.26,0.14
191,200529,AtRisk,5,6,0.26,0.14
194,200529,All,5,5,1,1
194,200529,AtRisk,5,5,1,1
198,200529,All,5,5,0,0
202,200529,All,5,5,0,0
204,200529,All,24,34,0.21,0.18
204,200529,AtRisk,5,6,0.21,0.18
205,200529,All,5,5,0,0
206,200529,All,5,5,1,1
206,200529,AtRisk,5,5,1,1
216,200529,All,5,5,1,1
216,200529,AtRisk,5,5,1,1
217,200529,All,5,5,1,1
217,200529,AtRisk,5,5,1,1
218,200529,All,13,32,0.38,0.16
218,200529,AtRisk,5,5,0.38,0.16
230,200529,All,5,5,0,0
231,200529,All,7,11,0,0
232,200529,All,,5,0,0
234,200529,All,5,5,0,0
236,200529,All,5,5,1,1
236,200529,AtRisk,5,5,1,1
242,200529,All,5,5,0,0
243,200529,All,5,5,0,0
244,200529,All,5,5,0,0
245,200529,All,5,5,0,0
255,200529,All,5,5,0,0
256,200529,All,5,7,0,0
257,200529,All,5,5,1,1
257,200529,AtRisk,5,5,1,1
258,200529,All,5,5,1,1
258,200529,AtRisk,5,5,1,1
260,200529,All,5,5,0,0
263,200529,All,5,5,0,0
268,200529,All,5,5,0,0
269,200529,All,5,5,0,0
270,200529,All,5,5,0,0
271,200529,All,5,5,0,0
272,200529,All,,5,0,0
279,200529,All,5,5,0,0
281,200529,All,29,37,0.17,0.14
281,200529,AtRisk,5,5,0.17,0.14
282,200529,All,6,6,0,0
283,200529,All,5,5,0,0
284,200529,All,5,5,0,0
291,200529,All,5,5,0,0
292,200529,All,13,18,0.38,0.28
292,200529,AtRisk,5,5,0.38,0.28
293,200529,All,5,5,1,1
293,200529,AtRisk,5,5,1,1
294,200529,All,5,5,1,1
294,200529,AtRisk,5,5,1,1
295,200529,All,5,5,0,0
296,200529,All,5,5,1,1
296,200529,AtRisk,5,5,1,1
303,200529,All,5,5,0,0
305,200529,All,31,45,0.16,0.11
305,200529,AtRisk,5,5,0.16,0.11
306,200529,All,6,8,0.83,0.62
306,200529,AtRisk,5,5,0.83,0.62
307,200529,All,5,5,0,0
316,200529,All,17,25,0.29,0.2
316,200529,AtRisk,5,5,0.29,0.2
317,200529,All,6,9,0.83,0.56
317,200529,AtRisk,5,5,0.83,0.56
318,200529,All,20,30,0.25,0.17
318,200529,AtRisk,5,5,0.25,0.17
319,200529,All,11,17,0,0
320,200529,All,5,5,0,0
322,200529,All,5,5,0,0
328,200529,All,9,12,0,0
329,200529,All,22,24,0.23,0.21
329,200529,AtRisk,5,5,0.23,0.21
330,200529,All,30,43,0.17,0.12
330,200529,AtRisk,5,5,0.17,0.12
331,200529,All,5,5,0,0
338,200529,All,15,23,0.33,0.22
338,200529,AtRisk,5,5,0.33,0.22
339,200529,All,33,41,0.15,0.12
339,200529,AtRisk,5,5,0.15,0.12
340,200529,All,16,19,0.31,0.26
340,200529,AtRisk,5,5,0.31,0.26
346,200529,All,7,15,0.71,0.33
346,200529,AtRisk,5,5,0.71,0.33
347,200529,All,28,41,0.18,0.12
347,200529,AtRisk,5,5,0.18,0.12
348,200529,All,5,5,0,0
351,200529,All,5,5,0,0
353,200529,All,29,36,0,0
354,200529,All,5,5,0,0
359,200529,All,17,19,0.29,0.26
359,200529,AtRisk,5,5,0.29,0.26
360,200529,All,5,8,0,0
365,200529,All,5,5,0,0
370,200529,All,5,5,1,1
370,200529,AtRisk,5,5,1,1
371,200529,All,5,5,0,0
376,200529,All,5,5,0,0
388,200529,All,5,5,0,0
424,200529,All,5,5,0,0
429,200529,All,5,5,0,0
430,200529,All,5,5,0,0
435,200529,All,5,5,0,0
442,200529,All,5,5,0,0
467,200529,All,5,5,0,0
480,200529,All,5,5,0,0
486,200529,All,5,5,0,0
489,200529,All,5,5,0,0
508,200529,All,5,5,0,0
543,200529,All,5,5,0,0
554,200529,All,5,5,0,0
2,200530,All,5,5,0,0
9,200530,All,5,5,1,1
9,200530,AtRisk,5,5,1,1
11,200530,All,5,5,0,0
16,200530,All,7,11,0.71,0.45
16,200530,AtRisk,5,5,0.71,0.45
18,200530,All,,5,0,0
19,200530,All,5,5,0,0
21,200530,All,5,5,1,1
21,200530,AtRisk,5,5,1,1
22,200530,All,5,5,0,0
25,200530,All,5,5,0,0
30,200530,All,5,5,0,0
32,200530,All,5,5,0,0
33,200530,All,5,5,0,0
34,200530,All,5,5,1,1
34,200530,AtRisk,5,5,1,1
35,200530,All,8,8,0.62,0.62
35,200530,AtRisk,5,5,0.62,0.62
37,200530,All,5,5,0,0
43,200530,All,8,8,0.62,0.62
43,200530,AtRisk,5,5,0.62,0.62
44,200530,All,7,7,0,0
63,200530,All,5,5,0,0
64,200530,All,5,5,0,0
65,200530,All,5,5,0,0
75,200530,All,9,9,0.56,0.56
75,200530,AtRisk,5,5,0.56,0.56
76,200530,All,5,5,0,0
77,200530,All,21,21,0.24,0.24
77,200530,AtRisk,5,5,0.24,0.24
83,200530,All,5,5,0,0
86,200530,All,13,13,0.38,0.38
86,200530,AtRisk,5,5,0.38,0.38
87,200530,All,5,5,0,0
88,200530,All,5,5,0,0
89,200530,All,10,11,0.5,0.45
89,200530,AtRisk,5,5,0.5,0.45
94,200530,All,5,5,0,0
97,200530,All,5,5,0,0
98,200530,All,5,5,0,0
99,200530,All,5,5,0,0
100,200530,All,5,5,0,0
101,200530,All,7,8,0.71,0.62
101,200530,AtRisk,5,5,0.71,0.62
102,200530,All,5,5,0,0
104,200530,All,5,5,0,0
105,200530,All,5,5,0,0
107,200530,All,5,5,0,0
109,200530,All,5,5,0,0
111,200530,All,5,5,1,1
111,200530,AtRisk,5,5,1,1
114,200530,All,5,5,0,0
116,200530,All,5,5,0,0
120,200530,All,5,5,0,0
122,200530,All,5,5,0,0
123,200530,All,5,5,0,0
125,200530,All,5,5,0,0
126,200530,All,5,5,0,0
132,200530,All,5,5,0,0
135,200530,All,5,5,0,0
138,200530,All,5,5,0,0
144,200530,All,5,5,0,0
146,200530,All,5,5,0,0
148,200530,All,5,5,0,0
149,200530,All,7,11,,0.45
149,200530,AtRisk,,5,,0.45
150,200530,All,5,5,0,0
151,200530,All,5,5,1,1
151,200530,AtRisk,5,5,1,1
152,200530,All,5,5,1,1
152,200530,AtRisk,5,5,1,1
153,200530,All,5,5,1,1
153,200530,AtRisk,5,5,1,1
159,200530,All,5,5,0,0
164,200530,All,5,5,0,0
169,200530,All,5,5,0,0
177,200530,All,5,5,,1
177,200530,AtRisk,,5,,1
178,200530,All,,5,0,0
180,200530,All,5,5,1,1
180,200530,AtRisk,5,5,1,1
181,200530,All,5,5,0,0
187,200530,All,5,5,0,0
188,200530,All,5,5,0,0
190,200530,All,5,5,0,0
191,200530,All,31,57,0.16,0.11
191,200530,AtRisk,5,6,0.16,0.11
194,200530,All,5,5,1,1
194,200530,AtRisk,5,5,1,1
197,200530,All,5,5,0,0
198,200530,All,5,5,0,0
200,200530,All,5,5,0,0
202,200530,All,5,5,0,0
204,200530,All,29,39,0.17,0.15
204,200530,AtRisk,5,6,0.17,0.15
205,200530,All,5,5,0,0
206,200530,All,5,5,1,1
206,200530,AtRisk,5,5,1,1
216,200530,All,5,5,1,1
216,200530,AtRisk,5,5,1,1
217,200530,All,5,5,1,1
217,200530,AtRisk,5,5,1,1
218,200530,All,26,45,0.19,0.16
218,200530,AtRisk,5,7,0.19,0.16
230,200530,All,5,5,0,0
231,200530,All,8,12,0,0
232,200530,All,5,5,0,0
234,200530,All,11,11,0.45,0.45
234,200530,AtRisk,5,5,0.45,0.45
236,200530,All,5,5,1,1
236,200530,AtRisk,5,5,1,1
242,200530,All,5,5,0,0
243,200530,All,5,5,0,0
244,200530,All,5,5,0,0
245,200530,All,5,5,0,0
246,200530,All,5,5,0,0
255,200530,All,5,5,1,1
255,200530,AtRisk,5,5,1,1
256,200530,All,6,9,0,0
257,200530,All,6,7,0.83,0.71
257,200530,AtRisk,5,5,0.83,0.71
258,200530,All,5,5,1,1
258,200530,AtRisk,5,5,1,1
260,200530,All,5,5,0,0
263,200530,All,5,5,0,0
268,200530,All,7,7,0,0
269,200530,All,5,6,0,0
270,200530,All,5,5,0,0
271,200530,All,5,5,0,0
272,200530,All,5,5,0,0
279,200530,All,5,5,0,0
281,200530,All,55,63,0.09,0.08
281,200530,AtRisk,5,5,0.09,0.08
282,200530,All,8,8,0,0
283,200530,All,7,8,0,0
284,200530,All,5,5,0,0
285,200530,All,5,5,0,0
287,200530,All,5,5,0,0
291,200530,All,5,5,0,0
292,200530,All,19,24,0.26,0.21
292,200530,AtRisk,5,5,0.26,0.21
293,200530,All,8,8,0.62,0.62
293,200530,AtRisk,5,5,0.62,0.62
294,200530,All,7,7,0.71,0.71
294,200530,AtRisk,5,5,0.71,0.71
295,200530,All,10,10,0,0
296,200530,All,5,5,1,1
296,200530,AtRisk,5,5,1,1
299,200530,All,5,5,0,0
303,200530,All,5,5,0,0
304,200530,All,5,5,1,1
304,200530,AtRisk,5,5,1,1
305,200530,All,57,72,0.11,0.08
305,200530,AtRisk,6,6,0.11,0.08
306,200530,All,20,22,0.25,0.23
306,200530,AtRisk,5,5,0.25,0.23
307,200530,All,6,8,0.83,0.62
307,200530,AtRisk,5,5,0.83,0.62
314,200530,All,5,5,0,0
316,200530,All,25,35,0.2,0.14
316,200530,AtRisk,5,5,0.2,0.14
317,200530,All,7,10,0.71,0.5
317,200530,AtRisk,5,5,0.71,0.5
318,200530,All,48,58,0.1,0.09
318,200530,AtRisk,5,5,0.1,0.09
319,200530,All,16,23,0,0
320,200530,All,5,5,0,0
321,200530,All,5,5,0,0
322,200530,All,5,5,0,0
328,200530,All,8,12,0,0
329,200530,All,36,38,0.14,0.13
329,200530,AtRisk,5,5,0.14,0.13
330,200530,All,58,71,0.09,0.07
330,200530,AtRisk,5,5,0.09,0.07
331,200530,All,5,5,0,0
338,200530,All,23,31,0.22,0.16
338,200530,AtRisk,5,5,0.22,0.16
339,200530,All,64,72,0.08,0.07
339,200530,AtRisk,5,5,0.08,0.07
340,200530,All,19,23,0.26,0.22
340,200530,AtRisk,5,5,0.26,0.22
346,200530,All,17,25,0.29,0.2
346,200530,AtRisk,5,5,0.29,0.2
347,200530,All,61,75,0.08,0.07
347,200530,AtRisk,5,5,0.08,0.07
348,200530,All,5,5,0,0
351,200530,All,5,5,0,0
353,200530,All,41,49,0.12,0.1
353,200530,AtRisk,5,5,0.12,0.1
354,200530,All,7,7,0,0
359,200530,All,21,23,0.24,0.22
359,200530,AtRisk,5,5,0.24,0.22
360,200530,All,8,11,0.62,0.45
360,200530,AtRisk,5,5,0.62,0.45
365,200530,All,5,5,0,0
366,200530,All,5,5,1,1
366,200530,AtRisk,5,5,1,1
370,200530,All,5,6,1,0.83
370,200530,AtRisk,5,5,1,0.83
371,200530,All,6,6,0,0
372,200530,All,5,5,0,0
375,200530,All,5,5,1,1
375,200530,AtRisk,5,5,1,1
376,200530,All,5,5,0,0
384,200530,All,5,5,0,0
388,200530,All,5,5,0,0
399,200530,All,5,5,0,0
421,200530,All,5,5,0,0
424,200530,All,5,5,0,0
429,200530,All,5,5,0,0
430,200530,All,5,5,0,0
435,200530,All,5,5,0,0
442,200530,All,5,5,0,0
467,200530,All,5,5,0,0
480,200530,All,5,5,0,0
486,200530,All,5,5,0,0
489,200530,All,5,5,0,0
