index,date,status,weekly,cumulative,weeklyrate,cumulativerate
149,200518,All,5,5,0,0
370,200518,All,5,5,0,0
9,200519,All,5,5,1,1
9,200519,AtRisk,5,5,1,1
16,200519,All,5,5,0,0
149,200519,All,5,5,0,0
256,200519,All,5,5,0,0
370,200519,All,5,5,0,0
9,200520,All,5,5,1,1
9,200520,AtRisk,5,5,1,1
16,200520,All,5,5,0,0
18,200520,All,5,5,0,0
101,200520,All,5,5,0,0
125,200520,All,5,5,0,0
149,200520,All,5,5,1,1
149,200520,AtRisk,5,5,1,1
152,200520,All,5,5,0,0
191,200520,All,5,5,1,1
191,200520,AtRisk,5,5,1,1
204,200520,All,5,5,0,0
216,200520,All,5,5,0,0
218,200520,All,6,6,0,0
231,200520,All,5,5,0,0
232,200520,All,5,5,0,0
256,200520,All,5,5,0,0
281,200520,All,6,6,0,0
292,200520,All,5,5,0,0
305,200520,All,5,5,0,0
316,200520,All,5,5,0,0
317,200520,All,5,5,0,0
318,200520,All,8,8,0,0
319,200520,All,5,5,0,0
328,200520,All,5,5,0,0
329,200520,All,5,5,0,0
330,200520,All,7,7,0,0
338,200520,All,5,5,0,0
339,200520,All,5,5,0,0
340,200520,All,5,5,0,0
346,200520,All,5,5,0,0
347,200520,All,7,7,0,0
348,200520,All,5,5,0,0
353,200520,All,5,5,0,0
359,200520,All,5,5,0,0
360,200520,All,5,5,0,0
370,200520,All,5,5,0,0
9,200521,All,5,5,1,1
9,200521,AtRisk,5,5,1,1
16,200521,All,5,5,0,0
18,200521,All,5,5,0,0
101,200521,All,5,5,0,0
125,200521,All,5,5,0,0
149,200521,All,5,5,1,1
149,200521,AtRisk,5,5,1,1
152,200521,All,5,5,0,0
191,200521,All,11,11,0.45,0.45
191,200521,AtRisk,5,5,0.45,0.45
204,200521,All,5,5,0,0
216,200521,All,5,5,0,0
218,200521,All,10,10,0.5,0.5
218,200521,AtRisk,5,5,0.5,0.5
231,200521,All,5,5,0,0
232,200521,All,5,5,0,0
256,200521,All,5,5,0,0
281,200521,All,7,7,0,0
283,200521,All,5,5,0,0
292,200521,All,5,5,0,0
305,200521,All,6,6,0,0
306,200521,All,5,5,0,0
307,200521,All,5,5,0,0
316,200521,All,5,5,0,0
